Gene	Splicing.ID	CHR	P0
LINC00115	LINC00115	1	761586
RP11-206L10.11	RP11-206L10.11	1	762988
FAM41C	FAM41C	1	803451
TUBB8P11	TUBB8P11	1	808672
AL645608.2	AL645608.2	1	818043
RP11-54O7.16	RP11-54O7.16	1	840214
RP11-54O7.1	RP11-54O7.1	1	846815
RP11-54O7.2	RP11-54O7.2	1	850329
RP11-54O7.3	RP11-54O7.3	1	852250
SAMD11	SAMD11	1	860260
AL645608.1	AL645608.1	1	861264
NOC2L	NOC2L	1	879956
KLHL17	KLHL17	1	895967
PLEKHN1	PLEKHN1	1	901877
C1orf170	C1orf170	1	910579
RP11-54O7.17	RP11-54O7.17	1	931346
HES4	HES4	1	934342
RP11-54O7.10	RP11-54O7.10	1	943456
RP11-54O7.11	RP11-54O7.11	1	947377
ISG15	ISG15	1	948803
AGRN	AGRN	1	955503
RP11-465B22.3	RP11-465B22.3	1	995114
RP11-54O7.18	RP11-54O7.18	1	997588
RNF223	RNF223	1	1006346
C1orf159	C1orf159	1	1017198
RP11-465B22.5	RP11-465B22.5	1	1072397
MIR200B	MIR200B	1	1102484
MIR200A	MIR200A	1	1103243
MIR429	MIR429	1	1104385
RP11-465B22.8	RP11-465B22.8	1	1104737
TTLL10-AS1	TTLL10-AS1	1	1108436
TTLL10	TTLL10	1	1114569
TNFRSF18	TNFRSF18	1	1138888
TNFRSF4	TNFRSF4	1	1146706
SDF4	SDF4	1	1152288
B3GALT6	B3GALT6	1	1167629
FAM132A	FAM132A	1	1177833
RP5-902P8.12	RP5-902P8.12	1	1185157
UBE2J2	UBE2J2	1	1189289
RP5-902P8.10	RP5-902P8.10	1	1210603
SCNN1D	SCNN1D	1	1215816
ACAP3	ACAP3	1	1227756
PUSL1	PUSL1	1	1243947
CPSF3L	CPSF3L	1	1247058
RP5-890O3.9	RP5-890O3.9	1	1252961
GLTPD1	GLTPD1	1	1260136
TAS1R3	TAS1R3	1	1266694
DVL1	DVL1	1	1270687
MXRA8	MXRA8	1	1288071
AURKAIP1	AURKAIP1	1	1309110
RP5-890O3.3	RP5-890O3.3	1	1314046
CCNL2	CCNL2	1	1321862
RP4-758J18.2	RP4-758J18.2	1	1334902
MRPL20	MRPL20	1	1337427
RP4-758J18.13	RP4-758J18.13	1	1344476
ANKRD65	ANKRD65	1	1353800
RP4-758J18.7	RP4-758J18.7	1	1357849
TMEM88B	TMEM88B	1	1361508
RP4-758J18.10	RP4-758J18.10	1	1365919
VWA1	VWA1	1	1370241
ATAD3C	ATAD3C	1	1385069
ATAD3B	ATAD3B	1	1407143
ATAD3A	ATAD3A	1	1447531
TMEM240	TMEM240	1	1470554
SSU72	SSU72	1	1477053
AL645728.1	AL645728.1	1	1510355
AL645728.3	AL645728.3	1	1515136
C1orf233	C1orf233	1	1533392
RP11-345P4.9	RP11-345P4.9	1	1549138
MIB2	MIB2	1	1551259
MMP23B	MMP23B	1	1567474
CDK11B	CDK11B	1	1570640
RP11-345P4.10	RP11-345P4.10	1	1590786
SLC35E2B	SLC35E2B	1	1592939
RP11-345P4.7	RP11-345P4.7	1	1603429
RP11-345P4.6	RP11-345P4.6	1	1605440
MMP23A	MMP23A	1	1631369
CDK11A	CDK11A	1	1634169
RP1-283E3.4	RP1-283E3.4	1	1655951
SLC35E2	SLC35E2	1	1656277
NADK	NADK	1	1682671
GNB1	GNB1	1	1716729
RP1-140A9.1	RP1-140A9.1	1	1822910
CALML6	CALML6	1	1846266
TMEM52	TMEM52	1	1849029
C1orf222	C1orf222	1	1853726
RP11-547D24.1	RP11-547D24.1	1	1944652
GABRD	GABRD	1	1950780
RP11-547D24.3	RP11-547D24.3	1	1980642
PRKCZ	PRKCZ	1	1981909
RP5-892K4.1	RP5-892K4.1	1	2072523
RP11-181G12.2	RP11-181G12.2	1	2113233
C1orf86	C1orf86	1	2115903
AL590822.2	AL590822.2	1	2121237
AL590822.1	AL590822.1	1	2143360
RP11-181G12.4	RP11-181G12.4	1	2151974
SKI	SKI	1	2160134
MORN1	MORN1	1	2252692
RP4-713A8.1	RP4-713A8.1	1	2257640
AL589739.1	AL589739.1	1	2258581
RP4-740C4.6	RP4-740C4.6	1	2281853
RP4-740C4.7	RP4-740C4.7	1	2294500
RP4-740C4.9	RP4-740C4.9	1	2306292
RP4-740C4.8	RP4-740C4.8	1	2309056
AL513477.1	AL513477.1	1	2316811
RER1	RER1	1	2323267
PEX10	PEX10	1	2336884
PLCH2	PLCH2	1	2357419
RP3-395M20.2	RP3-395M20.2	1	2423739
RP3-395M20.3	RP3-395M20.3	1	2424876
PANK4	PANK4	1	2439972
HES5	HES5	1	2460184
RP3-395M20.12	RP3-395M20.12	1	2477904
RP3-395M20.8	RP3-395M20.8	1	2481359
TNFRSF14	TNFRSF14	1	2488136
RP3-395M20.7	RP3-395M20.7	1	2497849
RP3-395M20.9	RP3-395M20.9	1	2512999
FAM213B	FAM213B	1	2517930
MMEL1	MMEL1	1	2522996
RP13-436F16.1	RP13-436F16.1	1	2564007
TTC34	TTC34	1	2567415
RP11-740P5.2	RP11-740P5.2	1	2728415
RP11-740P5.3	RP11-740P5.3	1	2730997
ACTRT2	ACTRT2	1	2938046
LINC00982	LINC00982	1	2976179
PRDM16	PRDM16	1	2985732
RP1-163G9.2	RP1-163G9.2	1	3049491
RP11-22L13.1	RP11-22L13.1	1	3223200
ARHGEF16	ARHGEF16	1	3370990
RP11-168F9.2	RP11-168F9.2	1	3403810
MEGF6	MEGF6	1	3406484
MIR551A	MIR551A	1	3477259
RP11-46F15.2	RP11-46F15.2	1	3539754
TPRG1L	TPRG1L	1	3541566
WRAP73	WRAP73	1	3547331
TP73	TP73	1	3569084
RP5-1092A11.5	RP5-1092A11.5	1	3575502
RP5-1092A11.2	RP5-1092A11.2	1	3628764
TP73-AS1	TP73-AS1	1	3652766
CCDC27	CCDC27	1	3668962
SMIM1	SMIM1	1	3689352
LRRC47	LRRC47	1	3696784
RN7SL574P	RN7SL574P	1	3699379
RP1-286D6.5	RP1-286D6.5	1	3701572
CEP104	CEP104	1	3728645
DFFB	DFFB	1	3773845
C1orf174	C1orf174	1	3805689
RP13-15E13.1	RP13-15E13.1	1	3816936
RP13-614K11.1	RP13-614K11.1	1	4000673
RP13-614K11.2	RP13-614K11.2	1	4007209
RP11-374C13.1	RP11-374C13.1	1	4235588
RP5-1166F10.1	RP5-1166F10.1	1	4472111
RP1-37J18.1	RP1-37J18.1	1	4611795
RP1-37J18.2	RP1-37J18.2	1	4631608
AJAP1	AJAP1	1	4714792
RP11-542C10.1	RP11-542C10.1	1	5146519
RP1-58B11.1	RP1-58B11.1	1	5553038
MIR4417	MIR4417	1	5624131
RP11-154H17.1	RP11-154H17.1	1	5647428
AL356693.1	AL356693.1	1	5875931
MIR4689	MIR4689	1	5922732
NPHP4	NPHP4	1	5922871
AL356261.1	AL356261.1	1	5953899
KCNAB2	KCNAB2	1	6051526
CHD5	CHD5	1	6161853
RPL22	RPL22	1	6241329
RP1-120G22.11	RP1-120G22.11	1	6264900
RNF207	RNF207	1	6266189
ICMT	ICMT	1	6281360
LINC00337	LINC00337	1	6296300
HES3	HES3	1	6304252
GPR153	GPR153	1	6307406
ACOT7	ACOT7	1	6324329
HES2	HES2	1	6472478
ESPN	ESPN	1	6484848
MIR4252	MIR4252	1	6489894
RP1-202O8.2	RP1-202O8.2	1	6503094
TNFRSF25	TNFRSF25	1	6521211
PLEKHG5	PLEKHG5	1	6526256
NOL9	NOL9	1	6581407
RNU6-731P	RNU6-731P	1	6600914
RP11-58A11.2	RP11-58A11.2	1	6607965
TAS1R1	TAS1R1	1	6615241
ZBTB48	ZBTB48	1	6640061
KLHL21	KLHL21	1	6650784
PHF13	PHF13	1	6673745
THAP3	THAP3	1	6684926
DNAJC11	DNAJC11	1	6695647
RP11-242F24.1	RP11-242F24.1	1	6784697
snoU13	snoU13	1	6812779
RP11-312B8.1	RP11-312B8.1	1	6843952
CAMTA1	CAMTA1	1	6845384
RP11-312B8.2	RP11-312B8.2	1	6894393
RP11-334N17.1	RP11-334N17.1	1	7068436
RNU1-8P	RNU1-8P	1	7279420
CAMTA1-IT1	CAMTA1-IT1	1	7429003
RP3-453P22.2	RP3-453P22.2	1	7442548
RP4-549F15.1	RP4-549F15.1	1	7501156
RP11-338N10.1	RP11-338N10.1	1	7753184
RP11-338N10.2	RP11-338N10.2	1	7758363
RP11-338N10.3	RP11-338N10.3	1	7760764
VAMP3	VAMP3	1	7831329
RP3-467L1.6	RP3-467L1.6	1	7836443
PER3	PER3	1	7844380
RP3-467L1.4	RP3-467L1.4	1	7870302
UTS2	UTS2	1	7906752
TNFRSF9	TNFRSF9	1	7979907
RP5-892F13.2	RP5-892F13.2	1	8002432
PARK7	PARK7	1	8014351
Y_RNA	Y_RNA	1	8042941
ERRFI1	ERRFI1	1	8064464
RP11-431K24.1	RP11-431K24.1	1	8086798
CTA-215D11.4	CTA-215D11.4	1	8117305
RP11-431K24.2	RP11-431K24.2	1	8249884
RNU1-7P	RNU1-7P	1	8266494
RP11-431K24.3	RP11-431K24.3	1	8268732
RP11-431K24.4	RP11-431K24.4	1	8278250
RN7SL729P	RN7SL729P	1	8335184
RNU6-991P	RNU6-991P	1	8352217
SLC45A1	SLC45A1	1	8377886
RERE	RERE	1	8412457
RP5-1115A15.1	RP5-1115A15.1	1	8484705
SNORA77	SNORA77	1	8571854
RP5-1115A15.2	RP5-1115A15.2	1	8572712
RP4-633I8.1	RP4-633I8.1	1	8810489
RP4-633I8.2	RP4-633I8.2	1	8846270
RP4-633I8.3	RP4-633I8.3	1	8858534
RP4-633I8.4	RP4-633I8.4	1	8865919
RP11-185B14.1	RP11-185B14.1	1	8891066
ENO1	ENO1	1	8921061
ENO1-IT1	ENO1-IT1	1	8935847
ENO1-AS1	ENO1-AS1	1	8939624
RNU6-304P	RNU6-304P	1	8943486
HMGN2P17	HMGN2P17	1	8953468
RP3-477M7.5	RP3-477M7.5	1	8967452
RP3-477M7.6	RP3-477M7.6	1	8969801
CA6	CA6	1	9005926
RN7SL451P	RN7SL451P	1	9039637
SLC2A7	SLC2A7	1	9063359
SLC2A5	SLC2A5	1	9095166
SCARNA16	SCARNA16	1	9142755
GPR157	GPR157	1	9160364
MIR34A	MIR34A	1	9211727
RP3-510D11.1	RP3-510D11.1	1	9242066
RP3-510D11.2	RP3-510D11.2	1	9242355
H6PD	H6PD	1	9294834
Z98044.1	Z98044.1	1	9338450
SPSB1	SPSB1	1	9352939
RNA5SP40	RNA5SP40	1	9497728
RP13-392I16.1	RP13-392I16.1	1	9561151
SLC25A33	SLC25A33	1	9599541
RP13-15M17.1	RP13-15M17.1	1	9636485
TMEM201	TMEM201	1	9648932
PIK3CD	PIK3CD	1	9711790
C1orf200	C1orf200	1	9712668
RP11-558F24.2	RP11-558F24.2	1	9720886
RP11-558F24.4	RP11-558F24.4	1	9732484
CLSTN1	CLSTN1	1	9789173
RP11-558F24.6	RP11-558F24.6	1	9840880
CTNNBIP1	CTNNBIP1	1	9908334
LZIC	LZIC	1	9982173
RP11-84A14.4	RP11-84A14.4	1	10002981
NMNAT1	NMNAT1	1	10003486
RN7SKP269	RN7SKP269	1	10007376
MIR5697	MIR5697	1	10027439
RBP7	RBP7	1	10057264
AL590639.1	AL590639.1	1	10078085
UBE4B	UBE4B	1	10092890
RP11-496H15.2	RP11-496H15.2	1	10114503
PGAM1P11	PGAM1P11	1	10118729
RNU6-828P	RNU6-828P	1	10223326
KIF1B	KIF1B	1	10270863
MIR1273D	MIR1273D	1	10287776
RNU6-37P	RNU6-37P	1	10359024
RN7SL721P	RN7SL721P	1	10450059
PGD	PGD	1	10458649
RP4-736L20.3	RP4-736L20.3	1	10489938
APITD1	APITD1	1	10490840
CORT	CORT	1	10509776
DFFA	DFFA	1	10516579
PEX14	PEX14	1	10534944
RN7SL614P	RN7SL614P	1	10676893
CASZ1	CASZ1	1	10696661
RP4-734G22.3	RP4-734G22.3	1	10700117
RP11-340B24.3	RP11-340B24.3	1	10955818
C1orf127	C1orf127	1	11006530
CFL1P6	CFL1P6	1	11051035
AL713997.1	AL713997.1	1	11058233
TARDBP	TARDBP	1	11072414
MASP2	MASP2	1	11086580
RP4-635E18.8	RP4-635E18.8	1	11089716
SRM	SRM	1	11114646
EXOSC10	EXOSC10	1	11126675
RP4-635E18.7	RP4-635E18.7	1	11128528
RP4-635E18.6	RP4-635E18.6	1	11159732
MTOR	MTOR	1	11166592
MTOR-AS1	MTOR-AS1	1	11203955
RNU6-537P	RNU6-537P	1	11212407
ANGPTL7	ANGPTL7	1	11249398
RNU6-291P	RNU6-291P	1	11286311
RPL39P6	RPL39P6	1	11293020
UBIAD1	UBIAD1	1	11333263
UBE2V2P3	UBE2V2P3	1	11338673
RP11-149P14.1	RP11-149P14.1	1	11485314
PTCHD2	PTCHD2	1	11539223
RP1-69M21.2	RP1-69M21.2	1	11669588
FBXO2	FBXO2	1	11708424
FBXO44	FBXO44	1	11714914
FBXO6	FBXO6	1	11724181
MAD2L2	MAD2L2	1	11734537
DRAXIN	DRAXIN	1	11751786
AGTRAP	AGTRAP	1	11796141
C1orf167	C1orf167	1	11821844
RP11-56N19.5	RP11-56N19.5	1	11837134
MTHFR	MTHFR	1	11845780
CLCN6	CLCN6	1	11867188
NPPA-AS1	NPPA-AS1	1	11903761
NPPA	NPPA	1	11905824
NPPB	NPPB	1	11917521
RP5-934G17.6	RP5-934G17.6	1	11937827
RNU5E-1	RNU5E-1	1	11968209
RNU5E-4P	RNU5E-4P	1	11969865
KIAA2013	KIAA2013	1	11979648
PLOD1	PLOD1	1	11994262
MFN2	MFN2	1	12040238
RP5-1077B9.5	RP5-1077B9.5	1	12077273
MIIP	MIIP	1	12079523
RN7SL649P	RN7SL649P	1	12096799
TNFRSF8	TNFRSF8	1	12123434
RNU6-777P	RNU6-777P	1	12137938
RP11-426M1.2	RP11-426M1.2	1	12140350
TNFRSF1B	TNFRSF1B	1	12227060
MIR4632	MIR4632	1	12251770
RP5-1118D24.2	RP5-1118D24.2	1	12280851
SNORA70	SNORA70	1	12281205
VPS13D	VPS13D	1	12290124
SNORA59A	SNORA59A	1	12567300
RP5-888M10.2	RP5-888M10.2	1	12587766
DHRS3	DHRS3	1	12627939
RNU6ATAC18P	RNU6ATAC18P	1	12630000
RP11-474O21.5	RP11-474O21.5	1	12678906
AADACL4	AADACL4	1	12704566
RP11-474O21.2	RP11-474O21.2	1	12752925
AADACL3	AADACL3	1	12776118
C1orf158	C1orf158	1	12806163
PRAMEF12	PRAMEF12	1	12834984
PRAMEF1	PRAMEF1	1	12851546
RP5-845O24.8	RP5-845O24.8	1	12882549
PRAMEF11	PRAMEF11	1	12884468
RP5-845O24.3	RP5-845O24.3	1	12897978
HNRNPCL1	HNRNPCL1	1	12907261
PRAMEF2	PRAMEF2	1	12916941
PRAMEF4	PRAMEF4	1	12939045
PRAMEF10	PRAMEF10	1	12952727
PRAMEF7	PRAMEF7	1	12976450
RNU6-1072P	RNU6-1072P	1	12982374
RP11-450I1.2	RP11-450I1.2	1	12985990
PRAMEF6	PRAMEF6	1	12998181
RP11-450I1.4	RP11-450I1.4	1	13012966
PRAMEF22	PRAMEF22	1	13035543
WI2-3308P17.2	WI2-3308P17.2	1	13052394
RP13-221M14.6	RP13-221M14.6	1	13123246
PRAMEF25	PRAMEF25	1	13140456
RP13-221M14.2	RP13-221M14.2	1	13146777
RP13-221M14.3	RP13-221M14.3	1	13162645
RP13-221M14.4	RP13-221M14.4	1	13171871
HNRNPCP5	HNRNPCP5	1	13182960
WI2-2994D6.1	WI2-2994D6.1	1	13196270
PRAMEF26	PRAMEF26	1	13216356
PRAMEF3	PRAMEF3	1	13328196
RP11-248D7.2	RP11-248D7.2	1	13351482
PRAMEF5	PRAMEF5	1	13359819
RP11-219C24.8	RP11-219C24.8	1	13379149
RNU6-771P	RNU6-771P	1	13384735
PRAMEF8	PRAMEF8	1	13386646
RP11-219C24.6	RP11-219C24.6	1	13411551
PRAMEF9	PRAMEF9	1	13421176
RP11-219C24.10	RP11-219C24.10	1	13429634
PRAMEF13	PRAMEF13	1	13447414
PRAMEF18	PRAMEF18	1	13474689
PRAMEF16	PRAMEF16	1	13495254
PRAMEF21	PRAMEF21	1	13516066
XX-FW84067D5.1	XX-FW84067D5.1	1	13607431
XX-FW84067D5.2	XX-FW84067D5.2	1	13632348
PRAMEF15	PRAMEF15	1	13641973
PRAMEF14	PRAMEF14	1	13668269
PRAMEF19	PRAMEF19	1	13694889
PRAMEF17	PRAMEF17	1	13716092
PRAMEF20	PRAMEF20	1	13736907
LRRC38	LRRC38	1	13801445
RP4-597A16.2	RP4-597A16.2	1	13840786
RP4-597A16.3	RP4-597A16.3	1	13881496
PDPN	PDPN	1	13909960
RNA5SP41	RNA5SP41	1	13949679
AL359771.1	AL359771.1	1	13950397
CTA-520D8.2	CTA-520D8.2	1	13983806
SCARNA11	SCARNA11	1	14022565
PRDM2	PRDM2	1	14026693
RNU6-1265P	RNU6-1265P	1	14450728
RP11-344F13.1	RP11-344F13.1	1	14548386
RP4-704D23.1	RP4-704D23.1	1	14675450
KAZN	KAZN	1	14925200
TBCAP2	TBCAP2	1	15018625
TMEM51-AS1	TMEM51-AS1	1	15444823
TMEM51	TMEM51	1	15479028
C1orf195	C1orf195	1	15490840
RP1-21O18.3	RP1-21O18.3	1	15518324
FHAD1	FHAD1	1	15573768
RP3-467K16.2	RP3-467K16.2	1	15653176
RP3-467K16.7	RP3-467K16.7	1	15660662
RP3-467K16.4	RP3-467K16.4	1	15729475
EFHD2	EFHD2	1	15736391
CTRC	CTRC	1	15764935
CELA2A	CELA2A	1	15783223
CELA2B	CELA2B	1	15792404
CASP9	CASP9	1	15817327
DNAJC16	DNAJC16	1	15853308
SCARNA21	SCARNA21	1	15868660
RP4-680D5.8	RP4-680D5.8	1	15892106
AGMAT	AGMAT	1	15898848
RP4-680D5.2	RP4-680D5.2	1	15912631
CHCHD2P6	CHCHD2P6	1	15931077
RNU7-179P	RNU7-179P	1	15934573
RP4-680D5.4	RP4-680D5.4	1	15941138
DDI2	DDI2	1	15943995
RP4-680D5.9	RP4-680D5.9	1	16009368
PLEKHM2	PLEKHM2	1	16010827
RP11-288I21.1	RP11-288I21.1	1	16049214
SLC25A34	SLC25A34	1	16062900
RP11-169K16.4	RP11-169K16.4	1	16075925
TMEM82	TMEM82	1	16068917
FBLIM1	FBLIM1	1	16083102
RP11-169K16.6	RP11-169K16.6	1	16119291
RP11-169K16.7	RP11-169K16.7	1	16133679
RP11-169K16.8	RP11-169K16.8	1	16154724
RP11-169K16.9	RP11-169K16.9	1	16160560
SPEN	SPEN	1	16174359
RP1-134O19.3	RP1-134O19.3	1	16244193
ZBTB17	ZBTB17	1	16268364
RP11-5P18.1	RP11-5P18.1	1	16296127
RP11-5P18.3	RP11-5P18.3	1	16314677
TBC1D3P6	TBC1D3P6	1	16316366
C1orf64	C1orf64	1	16330731
HSPB7	HSPB7	1	16340523
CLCNKA	CLCNKA	1	16345370
RP11-5P18.10	RP11-5P18.10	1	16361673
CLCNKB	CLCNKB	1	16370272
FAM131C	FAM131C	1	16384264
EPHA2	EPHA2	1	16450832
RP11-276H7.2	RP11-276H7.2	1	16481706
RP11-276H7.3	RP11-276H7.3	1	16485761
ARHGEF19	ARHGEF19	1	16524712
ANO7P1	ANO7P1	1	16542404
C1orf134	C1orf134	1	16555368
RSG1	RSG1	1	16558195
MT1XP1	MT1XP1	1	16567708
FBXO42	FBXO42	1	16573334
SZRD1	SZRD1	1	16679070
RP11-430L17.1	RP11-430L17.1	1	16695645
SPATA21	SPATA21	1	16713621
NECAP2	NECAP2	1	16767167
RP4-798A10.2	RP4-798A10.2	1	16787443
CROCCP3	CROCCP3	1	16793931
RNU1-1	RNU1-1	1	16840617
RP4-798A10.7	RP4-798A10.7	1	16841140
RP4-798A10.4	RP4-798A10.4	1	16847189
U1	U1	1	16860381
AL355149.2	AL355149.2	1	16865561
RP5-875O13.6	RP5-875O13.6	1	16875146
AL355149.1	AL355149.1	1	16875409
NBPF1	NBPF1	1	16888814
RP5-1182A14.5	RP5-1182A14.5	1	16943886
CROCCP2	CROCCP2	1	16944751
MST1P2	MST1P2	1	16972069
RNU1-3	RNU1-3	1	16993280
AL137798.1	AL137798.1	1	16999498
AL021920.1	AL021920.1	1	17007750
EIF1AXP1	EIF1AXP1	1	17012116
ESPNP	ESPNP	1	17013834
AL021920.2	AL021920.2	1	17060447
CROCC	CROCC	1	17066768
RNU1-4	RNU1-4	1	17067011
CROCCP4	CROCCP4	1	17076728
MST1L	MST1L	1	17081405
RP11-108M9.1	RP11-108M9.1	1	17177752
RP11-108M9.2	RP11-108M9.2	1	17181902
MIR3675	MIR3675	1	17185444
RP11-108M9.4	RP11-108M9.4	1	17215033
RP11-108M9.5	RP11-108M9.5	1	17215590
RNU1-2	RNU1-2	1	17222475
RP11-108M9.6	RP11-108M9.6	1	17230834
MFAP2	MFAP2	1	17300997
RP1-37C10.3	RP1-37C10.3	1	17305421
ATP13A2	ATP13A2	1	17312453
SDHB	SDHB	1	17345217
PADI2	PADI2	1	17393256
RP11-380J14.1	RP11-380J14.1	1	17516278
PADI1	PADI1	1	17531621
PADI3	PADI3	1	17575593
MIR3972	MIR3972	1	17604384
PADI4	PADI4	1	17634690
AC004824.2	AC004824.2	1	17655507
PADI6	PADI6	1	17698691
RCC2	RCC2	1	17733501
ARHGEF10L	ARHGEF10L	1	17866330
RP11-473A10.2	RP11-473A10.2	1	18044182
ACTL8	ACTL8	1	18081808
RP11-174G17.2	RP11-174G17.2	1	18392151
IGSF21	IGSF21	1	18434240
RP11-174G17	RP11-174G17	1	18493423
RP11-422P22.1	RP11-422P22.1	1	18712323
KLHDC7A	KLHDC7A	1	18807424
RP1-8B22.1	RP1-8B22.1	1	18839612
RP1-8B22.2	RP1-8B22.2	1	18921908
PAX7	PAX7	1	18957500
TAS1R2	TAS1R2	1	19166093
ALDH4A1	ALDH4A1	1	19197926
MIR4695	MIR4695	1	19209696
MIR1290	MIR1290	1	19223565
IFFO2	IFFO2	1	19230775
RP5-1126H10.2	RP5-1126H10.2	1	19398604
UBR4	UBR4	1	19403234
AL137127.1	AL137127.1	1	19410046
RP1-43E13.2	RP1-43E13.2	1	19536995
EMC1	EMC1	1	19542158
MRTO4	MRTO4	1	19578047
AKR7L	AKR7L	1	19592476
AKR7A3	AKR7A3	1	19609052
RP4-657E11.10	RP4-657E11.10	1	19623574
AKR7A2	AKR7A2	1	19630459
RNU6-1099P	RNU6-1099P	1	19631570
PQLC2	PQLC2	1	19638820
RN7SL85P	RN7SL85P	1	19646299
CAPZB	CAPZB	1	19665267
RN7SL277P	RN7SL277P	1	19750878
RNU4-28P	RNU4-28P	1	19837087
RP5-1056L3.1	RP5-1056L3.1	1	19918296
MINOS1	MINOS1	1	19923477
RPS14P3	RPS14P3	1	19934608
NBL1	NBL1	1	19967048
HTR6	HTR6	1	19991780
TMCO4	TMCO4	1	20008706
RNF186	RNF186	1	20140523
RP11-91K11.2	RP11-91K11.2	1	20145736
OTUD3	OTUD3	1	20209006
PLA2G2E	PLA2G2E	1	20246502
RN7SL304P	RN7SL304P	1	20297462
PLA2G2A	PLA2G2A	1	20301925
PLA2G5	PLA2G5	1	20354672
PLA2G2D	PLA2G2D	1	20438432
PLA2G2F	PLA2G2F	1	20465819
RP3-340N1.2	RP3-340N1.2	1	20480831
PLA2G2C	PLA2G2C	1	20487746
RP3-340N1.5	RP3-340N1.5	1	20510735
UBXN10	UBXN10	1	20512578
RP3-340N1.6	RP3-340N1.6	1	20569588
VWA5B1	VWA5B1	1	20617412
RP4-745E8.2	RP4-745E8.2	1	20620704
RP4-749H3.1	RP4-749H3.1	1	20687072
RP4-749H3.2	RP4-749H3.2	1	20738797
CAMK2N1	CAMK2N1	1	20808884
MUL1	MUL1	1	20825943
RPS4XP4	RPS4XP4	1	20852482
FAM43B	FAM43B	1	20878932
CDA	CDA	1	20915441
PINK1	PINK1	1	20959948
AL391357.1	AL391357.1	1	20976856
DDOST	DDOST	1	20978270
KIF17	KIF17	1	20990507
RP5-930J4.5	RP5-930J4.5	1	21019227
SH2D5	SH2D5	1	21046225
RP5-930J4.2	RP5-930J4.2	1	21059373
HP1BP3	HP1BP3	1	21069154
EIF4G3	EIF4G3	1	21132963
RNU7-200P	RNU7-200P	1	21167734
MIR1256	MIR1256	1	21314807
RPS15AP6	RPS15AP6	1	21330043
RP11-487E1.2	RP11-487E1.2	1	21400132
RP11-628K18.1	RP11-628K18.1	1	21487968
AL031005.1	AL031005.1	1	21503059
ECE1	ECE1	1	21543740
RP3-329E20.2	RP3-329E20.2	1	21592575
RP5-1071N3.1	RP5-1071N3.1	1	21619783
PPP1R11P1	PPP1R11P1	1	21724480
RP11-293F5.8	RP11-293F5.8	1	21737953
RP11-293F5.1	RP11-293F5.1	1	21742391
NBPF2P	NBPF2P	1	21751118
HS6ST1P1	HS6ST1P1	1	21754796
CROCCP5	CROCCP5	1	21760811
NBPF3	NBPF3	1	21766621
PFN1P10	PFN1P10	1	21786494
ALPL	ALPL	1	21835858
RP11-63N8.3	RP11-63N8.3	1	21912965
AL359815.1	AL359815.1	1	21918904
RAP1GAP	RAP1GAP	1	21922708
USP48	USP48	1	22004791
RP11-132G19.3	RP11-132G19.3	1	22094762
LDLRAD2	LDLRAD2	1	22138758
HSPG2	HSPG2	1	22154356
